"_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","confidence_immediate","coordinates","correct","correct_live_view","count_admin_check","count_check_confidence_imm","count_check_identification","count_check_made_identification","count_check_multiple_identification","count_check_proceeding_identification","count_check_time_of_exposure","count_confidence_imm","count_end_of_experiment","count_experiment","count_identification_task","count_instructions","count_instructions_after_multiple","count_instructions_after_proceed_identification","count_instructions_before_view","count_instructions_sequence","count_lineup_loop","count_lineup_sequence","count_live_lineup","count_live_view","count_logger","count_made_identification","count_multiple_identification","count_proceed_identification","count_repeat_lineup_sequence_identification","count_repeat_lineup_sequence_multiple","count_setting_sequence","count_time_of_exposure","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","identification","identification_made","identification_multiple","identification_proceed","keyboard_backend","lecture_time","live_row","live_row_instructions","live_row_lineup_loop","live_row_live_lineup","logfile","member","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_live_view","response_time","response_time_live_view","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_admin_check","time_check_confidence_imm","time_check_identification","time_check_made_identification","time_check_multiple_identification","time_check_proceeding_identification","time_check_time_of_exposure","time_confidence_imm","time_end_of_experiment","time_experiment","time_identification_task","time_instructions","time_instructions_after_multiple","time_instructions_after_proceed_identification","time_instructions_before_view","time_instructions_sequence","time_lineup_loop","time_lineup_sequence","time_live_lineup","time_live_view","time_logger","time_made_identification","time_multiple_identification","time_proceed_identification","time_repeat_lineup_sequence_identification","time_repeat_lineup_sequence_multiple","time_setting_sequence","time_time_of_exposure","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","244","230","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","19216","19216","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","NA","68516","NA","NA","NA","NA","NA","NA","1816","65319","1817","NA","NA","1820","1820","46006","46006","45989","46103","68517","NA","NA","NA","NA","NA","46102","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","557","759","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Not sure","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","11971","11971","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","NA","86062","NA","NA","NA","NA","NA","NA","1816","80623","1817","NA","NA","1820","1820","46006","46006","45989","68651","86062","NA","NA","NA","NA","NA","68650","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","50","relative","undefined","undefined","0","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","368","743","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","8645","8645","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","108449","97543","NA","NA","NA","NA","97543","NA","1816","94839","1817","NA","NA","1820","1820","46006","46006","45989","86194","108449","NA","NA","NA","NA","NA","86193","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","80","relative","undefined","undefined","0","3","3","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","656","738","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","7245","7245","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","118069","NA","NA","NA","NA","118069","NA","1816","115823","1817","NA","NA","1820","1820","46006","46006","45989","108577","123319","NA","NA","NA","NA","NA","108576","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","4","4","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","4","0","623","728","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","9179","9179","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","135012","NA","NA","NA","NA","118069","NA","1816","132631","1817","NA","NA","1820","1820","46006","46006","45989","123451","135013","NA","NA","NA","NA","NA","123450","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","0","5","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","5","0","538","727","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","10707","10707","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","149214","NA","NA","NA","NA","118069","NA","1816","145855","1817","NA","NA","1820","1820","46006","46006","45989","135147","149214","NA","NA","NA","NA","NA","135146","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","6","6","1","1","1","0","6","0","0","6","0","1","1","0","0","1","1","0","6","9","1","1","1","1","1","6","0","730","754","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","0","0","0","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","1","xpyriment","Jazzy James","3.1.4","0","1","1","10808","10808","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","176293","154454","157046","NA","NA","118069","NA","1816","173766","1817","157046","NA","1820","1820","162861","162861","45989","162957","176294","149250","154454","NA","NA","162843","162956","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","7","7","1","1","1","0","7","0","0","7","0","1","1","0","0","1","1","0","7","10","1","1","1","1","1","7","0","482","748","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","1","0","1","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","2","xpyriment","Jazzy James","3.1.4","0","1","1","16123","16123","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","196230","154454","157046","NA","NA","118069","NA","1816","192550","1817","157046","NA","1820","1820","162861","162861","45989","176426","196230","149250","154454","NA","NA","162843","176425","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","8","8","1","1","1","0","8","0","0","8","0","1","1","0","0","1","1","0","8","11","1","1","1","1","1","8","0","822","737","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","2","0","2","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","3","xpyriment","Jazzy James","3.1.4","0","1","1","9684","9684","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","123319","208922","154454","157046","NA","NA","118069","NA","1816","206046","1817","157046","NA","1820","1820","162861","162861","45989","196361","208922","149250","154454","NA","NA","162843","196360","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","60","relative","undefined","undefined","1","9","9","1","1","1","0","9","0","0","9","0","1","1","0","0","1","1","0","9","12","1","1","1","1","1","9","0","689","621","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","Yes","no","no","no","legacy","no","3","0","3","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","4","xpyriment","Jazzy James","3.1.4","0","1","1","11818","11818","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","230934","227268","154454","157046","NA","NA","227268","NA","1816","220870","1817","157046","NA","1820","1820","162861","162861","45989","209051","230934","149250","154454","NA","NA","162843","209050","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","10","10","1","1","1","0","10","0","0","10","0","1","1","0","0","1","1","0","10","13","1","1","1","1","1","10","0","760","634","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","4","0","4","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","5","xpyriment","Jazzy James","3.1.4","0","1","1","6005","6005","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","230934","239304","154454","157046","NA","NA","227268","NA","1816","237070","1817","157046","NA","1820","1820","162861","162861","45989","231064","239305","149250","154454","NA","NA","162843","231063","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","11","11","1","1","1","0","11","0","0","11","0","1","1","0","0","1","1","0","11","14","1","1","1","1","1","11","0","390","725","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","no","no","no","legacy","no","5","0","5","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","7991","7991","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","NA","230934","249833","154454","157046","NA","NA","227268","NA","1816","247429","1817","157046","NA","1820","1820","162861","162861","45989","239438","249833","149250","154454","NA","NA","162843","239437","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","11","11","1","1","1","0","11","0","0","11","0","1","1","0","0","1","1","0","11","14","1","1","1","1","1","11","0","390","725","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","Yes","One","No","legacy","no","5","0","5","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","7991","7991","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","258268","230934","249833","252688","258268","270750","NA","227268","NA","1816","247429","1817","157046","NA","1820","1820","162861","162861","45989","239438","270751","249869","252688","264136","NA","162843","239437","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","11","11","1","1","1","0","11","0","0","11","0","1","1","0","0","1","1","0","11","14","1","1","1","1","1","11","0","390","725","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Continue","yes","768","No","Yes","One","No","legacy","no","5","0","5","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","7991","7991","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","270779","230934","249833","252688","258268","278525","NA","227268","NA","1816","247429","1817","157046","NA","1820","1820","162861","162861","45989","239438","278525","249869","252688","273358","NA","162843","239437","NA","lineup1","0","0","0","no","no","1366"
"","undefined","undefined","undefined","undefined","white","no","xpyriment","legacy","legacy","0","no","relative","undefined","undefined","1","11","11","1","1","1","0","11","0","0","11","0","1","1","0","0","1","1","0","11","14","1","1","1","1","1","11","0","390","725","10/06/18 11:43:37","Executes Python code","yes","","lineup_liveMEN.osexp","C:\Users\Laptop5\Desktop\Open Day 6 Oct","no","mono","no","24","no","black","no","Click to end","yes","768","No","Yes","One","No","legacy","10am","5","0","5","0","C:/Users/Laptop5/Desktop/Open Day 6 Oct/subject-81.csv","6","xpyriment","Jazzy James","3.1.4","0","1","1","7991","7991","2","legacy","1024","2","48000","-16","experiment","81","odd","legacy","270779","230934","249833","252688","258268","278525","281861","227268","281861","1816","247429","1817","157046","NA","1820","1820","162861","162861","45989","239438","283313","249869","252688","273358","NA","162843","239437","278556","lineup1","0","0","0","no","no","1366"
